variant,spectral_radius,seed,curvature_rad,vpt
connectome,2.0,9,0.25866793624548295,5.991902399999999
connectome,2.4,0,0.25465439875937856,2.4627792
connectome,2.4,1,0.25808783412963604,4.0493904
connectome,2.4,2,0.25923049987404234,5.3344368
connectome,2.4,3,0.25697181944027414,5.073624000000001
connectome,2.4,4,0.2573113973942205,0.8082479999999999
connectome,2.4,5,0.25742471704835374,4.4175168
connectome,2.4,6,0.26049525566490694,3.810311999999999
connectome,2.4,7,0.25829920178651217,4.054823999999999
connectome,2.4,8,0.2553433638302699,3.1161696
connectome,2.4,9,0.25884739476225077,5.2719504
connectome,2.8,0,0.25705670954642035,1.8732335999999996
connectome,2.8,1,0.26347066728043966,4.033089599999999
connectome,2.8,2,0.2612005810666162,3.5970432000000003
connectome,2.8,3,0.2610128439837575,4.388990399999999
connectome,2.8,4,0.2580795103359403,0.319224
connectome,2.8,5,0.26098399198128797,3.6649632
connectome,2.8,6,0.2579451439216035,4.043956799999999
connectome,2.8,7,0.2597868497357449,2.7602687999999995
connectome,2.8,8,0.2580791889832036,0.8435663999999999
connectome,2.8,9,0.2656620244260276,6.744456
connectome,3.2,0,0.25934427879701993,1.9859807999999997
connectome,3.2,1,0.26530775420497704,3.5467823999999992
connectome,3.2,2,0.26201417154669,3.2248416
connectome,3.2,3,0.26575958809544215,3.946151999999999
connectome,3.2,4,0.2619699202691677,1.7469023999999997
connectome,3.2,5,0.2635945364307797,3.4557696
connectome,3.2,6,0.26074835023251774,0.0013583999999999998
connectome,3.2,7,0.2623403630293374,3.776352
connectome,3.2,8,0.2612538088933418,0.9522383999999999
connectome,3.2,9,0.2627273848032882,6.251356800000001
connectome,3.6,0,0.2596428252675367,2.5021728
connectome,3.6,1,0.263758603576467,2.2359263999999994
connectome,3.6,2,0.26260787583997325,3.2520095999999996
connectome,3.6,3,0.26645301970054414,3.8211792000000004
connectome,3.6,4,0.25888050646071714,0.32737439999999995
connectome,3.6,5,0.2653202572569828,2.8064544
connectome,3.6,6,0.26259095356683354,0.0
connectome,3.6,7,0.2645966032592009,2.8376976
connectome,3.6,8,0.26034883420006755,2.0742768
connectome,3.6,9,0.2620706732077382,6.4089312000000005
connectome,4.0,0,0.2602203911635454,2.540208
connectome,4.0,1,0.2635723770831456,1.8677999999999997
connectome,4.0,2,0.26262405094486707,3.5970431999999994
connectome,4.0,3,0.26613482733737714,3.0740591999999993
connectome,4.0,4,0.2594993729394119,0.4537056
connectome,4.0,5,0.26669598256432225,4.398499200000001
connectome,4.0,6,0.26421503640528654,0.0
connectome,4.0,7,0.26541455911245637,3.0903599999999996
connectome,4.0,8,0.26124082301333745,1.4168111999999997
connectome,4.0,9,0.26228656035772513,6.126384
connectome,4.4,0,0.26018072102080264,2.6339375999999994
connectome,4.4,1,0.26371356354813497,2.2698864
connectome,4.4,2,0.2622937130254716,4.480003199999999
connectome,4.4,3,0.26592170309349433,2.9653872
connectome,4.4,4,0.26136955981860605,0.3232992
connectome,4.4,5,0.2672152456491659,3.5304815999999994
connectome,4.4,6,0.26398403808335485,0.0
connectome,4.4,7,0.26561887099146947,3.0102143999999997
connectome,4.4,8,0.2611036900518811,1.4399039999999999
connectome,4.4,9,0.26247785937544454,5.740598399999999
connectome,4.8,0,0.25977511060077313,2.4491951999999997
connectome,4.8,1,0.26367167462904467,2.3541072
connectome,4.8,2,0.2619929243460953,4.1988144
connectome,4.8,3,0.26552286398117814,3.277819199999999
connectome,4.8,4,0.26053103349840623,0.7145183999999999
connectome,4.8,5,0.26658931918834916,4.0167888
connectome,4.8,6,0.2613845290913072,0.0
connectome,4.8,7,0.2657870546984334,3.6147023999999996
connectome,4.8,8,0.26257621854175245,1.2999888
connectome,4.8,9,0.26251293757917904,5.713430399999999
connectome,5.2,0,0.2596371777293678,2.1843072
connectome,5.2,1,0.2635254507454239,2.1218207999999996
connectome,5.2,2,0.2618006841433109,3.4177343999999996
connectome,5.2,3,0.265058317817356,3.1868064
connectome,5.2,4,0.25957460362404916,0.6425232
connectome,5.2,5,0.2635328546746378,3.7505423999999996
connectome,5.2,6,0.26094873029674903,0.0013583999999999998
connectome,5.2,7,0.2645237764387345,2.6271455999999995
connectome,5.2,8,0.26779431730438397,0.39665279999999997
connectome,5.2,9,0.2624830342948912,5.4512592
connectome,5.6,0,0.2602195005734695,0.0
connectome,5.6,1,0.26335035461951617,1.7197344
connectome,5.6,2,0.2616910485112826,2.3921424
connectome,5.6,3,0.26464927916225384,3.1093775999999997
connectome,5.6,4,0.26002250062908755,0.3382416
connectome,5.6,5,0.2623145294447998,4.2708096
connectome,5.6,6,0.2604151224499787,0.0
connectome,5.6,7,0.2665266637550125,0.0
connectome,5.6,8,0.2698082770806531,0.0556944
connectome,5.6,9,0.2624607904201963,5.208105599999999
connectome,6.0,0,0.25963919111269085,0.0
connectome,6.0,1,0.2631832744378583,1.6137791999999997
connectome,6.0,2,0.2616284070901993,2.3052048
connectome,6.0,3,0.2643371746473485,2.5972607999999995
connectome,6.0,4,0.2700784282250648,0.0
connectome,6.0,5,0.26163336355667216,2.4165936
connectome,6.0,6,0.26036707522259045,0.0
connectome,6.0,7,0.25765519520328767,0.0
connectome,6.0,8,0.25708531686631114,0.0
connectome,6.0,9,0.2646064055381153,4.436534400000001
